state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens,period_tokens,cases_check_ok
1,abia,10,19,1,30,146,31,177,279,q4 2020,['abia'],"['q4', '2020']",True
2,adamawa,14,63,0,77,234,36,270,443,q4 2020,['adamawa'],"['q4', '2020']",True
3,akwa ibom,6,13,3,22,28,7,35,89,q4 2020,"['akwa', 'ibom']","['q4', '2020']",True
4,anambra,14,41,17,72,152,20,172,526,q4 2020,['anambra'],"['q4', '2020']",True
5,bauchi,45,108,1,154,685,90,775,1182,q4 2020,['bauchi'],"['q4', '2020']",True
6,bayelsa,0,1,0,1,3,0,3,3,q4 2020,['bayelsa'],"['q4', '2020']",True
7,benue,10,43,24,77,177,25,202,254,q4 2020,['benue'],"['q4', '2020']",True
8,borno,8,17,0,25,67,16,83,118,q4 2020,['borno'],"['q4', '2020']",True
9,cross river,9,19,5,33,65,11,76,164,q4 2020,"['cross', 'river']","['q4', '2020']",True
10,delta,25,36,6,67,182,36,218,407,q4 2020,['delta'],"['q4', '2020']",True
11,ebonyi,10,16,1,27,82,11,93,200,q4 2020,['ebonyi'],"['q4', '2020']",True
12,edo,20,29,6,55,118,32,150,311,q4 2020,['edo'],"['q4', '2020']",True
13,ekiti,8,20,2,30,71,9,80,185,q4 2020,['ekiti'],"['q4', '2020']",True
14,enugu,9,24,11,44,116,30,146,387,q4 2020,['enugu'],"['q4', '2020']",True
15,fct,71,182,59,312,572,90,662,1543,q4 2020,['fct'],"['q4', '2020']",True
16,gombe,18,50,2,70,231,26,257,459,q4 2020,['gombe'],"['q4', '2020']",True
17,imo,9,20,2,31,91,15,106,230,q4 2020,['imo'],"['q4', '2020']",True
18,jigawa,27,61,4,92,318,64,382,628,q4 2020,['jigawa'],"['q4', '2020']",True
19,kaduna,93,175,13,281,1010,224,1234,2234,q4 2020,['kaduna'],"['q4', '2020']",True
20,kano,54,46,2,102,499,194,693,1013,q4 2020,['kano'],"['q4', '2020']",True
21,katsina,19,54,4,77,277,39,316,421,q4 2020,['katsina'],"['q4', '2020']",True
22,kebbi,21,33,4,58,222,56,278,387,q4 2020,['kebbi'],"['q4', '2020']",True
23,kogi,23,82,17,122,335,55,390,851,q4 2020,['kogi'],"['q4', '2020']",True
24,kwara,26,64,12,102,313,60,373,694,q4 2020,['kwara'],"['q4', '2020']",True
25,lagos,14,61,38,113,181,21,202,602,q4 2020,['lagos'],"['q4', '2020']",True
26,nasarawa,42,112,46,200,513,65,578,961,q4 2020,['nasarawa'],"['q4', '2020']",True
27,niger,27,80,3,110,347,91,438,653,q4 2020,['niger'],"['q4', '2020']",True
28,ogun,59,160,60,279,548,83,631,1678,q4 2020,['ogun'],"['q4', '2020']",True
29,ondo,49,56,9,114,320,84,404,899,q4 2020,['ondo'],"['q4', '2020']",True
30,osun,34,65,10,109,292,52,344,711,q4 2020,['osun'],"['q4', '2020']",True
31,oyo,41,89,25,155,385,68,453,1120,q4 2020,['oyo'],"['q4', '2020']",True
32,plateau,8,20,17,45,123,17,140,255,q4 2020,['plateau'],"['q4', '2020']",True
33,rivers,3,18,4,25,77,6,83,194,q4 2020,['rivers'],"['q4', '2020']",True
34,sokoto,12,20,0,32,138,47,185,228,q4 2020,['sokoto'],"['q4', '2020']",True
35,taraba,5,53,1,59,149,7,156,284,q4 2020,['taraba'],"['q4', '2020']",True
36,yobe,24,30,2,56,383,60,443,602,q4 2020,['yobe'],"['q4', '2020']",True
37,zamfara,18,37,0,55,252,40,292,475,q4 2020,['zamfara'],"['q4', '2020']",True
38,abia,16,23,5,44,119,35,154,289,q1 2021,['abia'],"['q1', '2021']",True
39,adamawa,11,73,0,84,251,21,272,437,q1 2021,['adamawa'],"['q1', '2021']",True
40,akwa ibom,7,12,3,22,35,12,47,117,q1 2021,"['akwa', 'ibom']","['q1', '2021']",True
41,anambra,9,55,16,80,147,9,156,575,q1 2021,['anambra'],"['q1', '2021']",True
42,bauchi,52,78,1,131,634,115,749,1138,q1 2021,['bauchi'],"['q1', '2021']",True
43,bayelsa,0,6,1,7,15,0,15,29,q1 2021,['bayelsa'],"['q1', '2021']",True
44,benue,10,27,15,52,123,15,138,187,q1 2021,['benue'],"['q1', '2021']",True
45,borno,8,23,0,31,78,24,102,149,q1 2021,['borno'],"['q1', '2021']",True
46,cross river,12,13,0,25,50,30,80,135,q1 2021,"['cross', 'river']","['q1', '2021']",True
47,delta,21,39,11,71,196,51,247,482,q1 2021,['delta'],"['q1', '2021']",True
48,ebonyi,10,19,2,31,121,27,148,274,q1 2021,['ebonyi'],"['q1', '2021']",True
49,edo,20,30,6,56,140,51,191,386,q1 2021,['edo'],"['q1', '2021']",True
50,ekiti,10,19,2,31,101,13,114,175,q1 2021,['ekiti'],"['q1', '2021']",True
51,enugu,24,36,6,66,222,37,259,505,q1 2021,['enugu'],"['q1', '2021']",True
52,fct,41,177,60,278,518,56,574,1289,q1 2021,['fct'],"['q1', '2021']",True
53,gombe,11,59,2,72,232,31,263,388,q1 2021,['gombe'],"['q1', '2021']",True
54,imo,7,7,2,16,71,17,88,116,q1 2021,['imo'],"['q1', '2021']",True
55,jigawa,15,50,2,67,264,35,299,443,q1 2021,['jigawa'],"['q1', '2021']",True
56,kaduna,104,147,5,256,1149,196,1345,2151,q1 2021,['kaduna'],"['q1', '2021']",True
57,kano,33,100,4,137,604,100,704,1013,q1 2021,['kano'],"['q1', '2021']",True
58,katsina,19,52,0,71,287,29,316,469,q1 2021,['katsina'],"['q1', '2021']",True
59,kebbi,13,31,0,44,139,21,160,263,q1 2021,['kebbi'],"['q1', '2021']",True
60,kogi,38,83,22,143,425,94,519,1361,q1 2021,['kogi'],"['q1', '2021']",True
61,kwara,25,62,13,100,369,69,438,680,q1 2021,['kwara'],"['q1', '2021']",True
62,lagos,23,73,55,151,243,26,269,709,q1 2021,['lagos'],"['q1', '2021']",True
63,nasarawa,37,100,39,176,452,77,529,931,q1 2021,['nasarawa'],"['q1', '2021']",True
64,niger,25,82,1,108,492,93,585,809,q1 2021,['niger'],"['q1', '2021']",True
65,ogun,58,173,68,299,670,82,752,1908,q1 2021,['ogun'],"['q1', '2021']",True
66,ondo,32,76,7,115,290,43,333,752,q1 2021,['ondo'],"['q1', '2021']",True
67,osun,22,72,11,105,317,43,360,749,q1 2021,['osun'],"['q1', '2021']",True
68,oyo,56,107,13,176,399,103,502,1169,q1 2021,['oyo'],"['q1', '2021']",True
69,plateau,10,25,13,48,130,15,145,251,q1 2021,['plateau'],"['q1', '2021']",True
70,rivers,3,16,2,21,54,4,58,118,q1 2021,['rivers'],"['q1', '2021']",True
71,sokoto,15,22,0,37,119,33,152,205,q1 2021,['sokoto'],"['q1', '2021']",True
72,taraba,8,58,1,67,213,12,225,315,q1 2021,['taraba'],"['q1', '2021']",True
73,yobe,17,24,1,42,235,35,270,379,q1 2021,['yobe'],"['q1', '2021']",True
74,zamfara,8,33,0,41,153,14,167,235,q1 2021,['zamfara'],"['q1', '2021']",True
75,abia,10,11,0,21,69,19,88,177,q2 2021,['abia'],"['q2', '2021']",True
76,adamawa,11,76,3,90,280,21,301,468,q2 2021,['adamawa'],"['q2', '2021']",True
77,akwa ibom,6,9,1,16,32,10,42,87,q2 2021,"['akwa', 'ibom']","['q2', '2021']",True
78,anambra,15,31,20,66,138,18,156,418,q2 2021,['anambra'],"['q2', '2021']",True
79,bauchi,33,72,0,105,418,46,464,737,q2 2021,['bauchi'],"['q2', '2021']",True
80,bayelsa,2,5,3,10,19,3,22,42,q2 2021,['bayelsa'],"['q2', '2021']",True
81,benue,7,59,3,69,170,19,189,236,q2 2021,['benue'],"['q2', '2021']",True
82,borno,2,15,0,17,65,4,69,103,q2 2021,['borno'],"['q2', '2021']",True
83,cross river,5,20,4,29,74,5,79,149,q2 2021,"['cross', 'river']","['q2', '2021']",True
84,delta,9,28,4,41,136,16,152,311,q2 2021,['delta'],"['q2', '2021']",True
85,ebonyi,9,19,1,29,82,15,97,185,q2 2021,['ebonyi'],"['q2', '2021']",True
86,edo,19,30,9,58,154,34,188,370,q2 2021,['edo'],"['q2', '2021']",True
87,ekiti,13,23,5,41,98,20,118,252,q2 2021,['ekiti'],"['q2', '2021']",True
88,enugu,13,34,19,66,157,22,179,453,q2 2021,['enugu'],"['q2', '2021']",True
89,fct,31,168,53,252,483,37,520,1273,q2 2021,['fct'],"['q2', '2021']",True
90,gombe,15,76,2,93,239,28,267,427,q2 2021,['gombe'],"['q2', '2021']",True
91,imo,6,13,4,23,64,14,78,145,q2 2021,['imo'],"['q2', '2021']",True
92,jigawa,22,41,0,63,370,46,416,499,q2 2021,['jigawa'],"['q2', '2021']",True
93,kaduna,94,126,2,222,837,217,1054,1790,q2 2021,['kaduna'],"['q2', '2021']",True
94,kano,22,47,1,70,286,57,343,480,q2 2021,['kano'],"['q2', '2021']",True
95,katsina,20,19,0,39,148,40,188,229,q2 2021,['katsina'],"['q2', '2021']",True
96,kebbi,4,47,2,53,130,4,134,220,q2 2021,['kebbi'],"['q2', '2021']",True
97,kogi,21,57,19,97,246,25,271,705,q2 2021,['kogi'],"['q2', '2021']",True
98,kwara,32,63,13,108,368,80,448,750,q2 2021,['kwara'],"['q2', '2021']",True
99,lagos,28,75,42,145,266,47,313,717,q2 2021,['lagos'],"['q2', '2021']",True
100,nasarawa,37,182,23,242,600,53,653,1106,q2 2021,['nasarawa'],"['q2', '2021']",True
101,niger,47,98,3,148,516,103,619,946,q2 2021,['niger'],"['q2', '2021']",True
102,ogun,73,185,79,337,637,121,758,1980,q2 2021,['ogun'],"['q2', '2021']",True
103,ondo,32,68,14,114,299,47,346,772,q2 2021,['ondo'],"['q2', '2021']",True
104,osun,24,55,8,87,250,52,302,615,q2 2021,['osun'],"['q2', '2021']",True
