id,state,period,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens,period_tokens,total_causes_recorded
1.0,abia,q4 2020,19,0,4,0,3,0,0,5,0,0,3,0,0,0,0,0,2,['abia'],"['q4', '2020']",36
2.0,adamawa,q4 2020,57,0,3,2,0,1,0,17,1,0,3,10,0,0,0,0,0,['adamawa'],"['q4', '2020']",94
3.0,akwa ibom,q4 2020,15,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,0,"['akwa', 'ibom']","['q4', '2020']",24
4.0,anambra,q4 2020,43,0,3,0,9,0,0,4,0,0,6,1,0,1,0,0,6,['anambra'],"['q4', '2020']",73
5.0,bauchi,q4 2020,74,0,11,3,0,5,2,21,7,2,4,3,0,0,0,0,8,['bauchi'],"['q4', '2020']",140
6.0,bayelsa,q4 2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['bayelsa'],"['q4', '2020']",1
7.0,benue,q4 2020,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['benue'],"['q4', '2020']",81
8.0,borno,q4 2020,11,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,['borno'],"['q4', '2020']",18
9.0,cross river,q4 2020,23,0,1,2,1,1,0,2,3,1,0,4,0,0,0,0,0,"['cross', 'river']","['q4', '2020']",38
10.0,delta,q4 2020,70,0,10,0,4,0,0,8,1,0,1,0,0,0,0,0,17,['delta'],"['q4', '2020']",111
11.0,ebonyi,q4 2020,9,0,8,0,0,0,0,6,3,0,0,0,0,0,0,0,3,['ebonyi'],"['q4', '2020']",29
12.0,edo,q4 2020,77,0,9,2,2,2,0,4,5,0,1,0,0,0,0,0,0,['edo'],"['q4', '2020']",102
13.0,ekiti,q4 2020,23,0,1,0,4,0,0,7,2,0,1,1,0,1,0,0,4,['ekiti'],"['q4', '2020']",44
14.0,enugu,q4 2020,10,0,0,1,10,0,0,2,3,0,1,0,0,0,0,0,21,['enugu'],"['q4', '2020']",48
15.0,fct,q4 2020,284,1,18,4,7,1,4,13,18,0,18,2,0,1,0,2,91,['fct'],"['q4', '2020']",464
16.0,gombe,q4 2020,59,1,2,1,1,0,0,7,8,0,1,0,0,0,0,0,4,['gombe'],"['q4', '2020']",84
17.0,imo,q4 2020,11,0,3,0,1,0,0,1,4,1,0,1,0,0,0,0,2,['imo'],"['q4', '2020']",24
18.0,jigawa,q4 2020,118,1,11,2,0,12,0,7,1,0,8,10,0,0,0,0,6,['jigawa'],"['q4', '2020']",176
19.0,kaduna,q4 2020,194,1,13,0,5,3,4,15,13,8,22,2,2,0,0,0,35,['kaduna'],"['q4', '2020']",317
20.0,kano,q4 2020,90,0,4,0,2,0,2,7,13,0,6,0,0,0,0,2,3,['kano'],"['q4', '2020']",129
21.0,katsina,q4 2020,80,0,1,2,3,0,0,4,7,3,3,1,1,0,0,0,1,['katsina'],"['q4', '2020']",106
22.0,kebbi,q4 2020,45,0,3,2,0,0,0,6,4,0,1,0,0,0,0,0,1,['kebbi'],"['q4', '2020']",62
23.0,kogi,q4 2020,91,0,8,4,8,1,0,16,8,2,6,6,0,1,0,1,26,['kogi'],"['q4', '2020']",178
24.0,kwara,q4 2020,105,1,5,3,5,0,0,18,6,2,0,0,0,0,0,0,15,['kwara'],"['q4', '2020']",160
25.0,lagos,q4 2020,46,0,3,12,23,0,0,4,6,6,3,0,0,1,0,3,0,['lagos'],"['q4', '2020']",107
26.0,nasarawa,q4 2020,114,0,6,4,1,0,0,12,52,5,14,2,0,0,0,0,32,['nasarawa'],"['q4', '2020']",242
27.0,niger,q4 2020,102,0,1,1,4,0,0,4,0,0,8,1,1,0,0,0,4,['niger'],"['q4', '2020']",126
28.0,ogun,q4 2020,254,0,22,10,28,4,1,12,20,1,13,6,0,0,0,0,2,['ogun'],"['q4', '2020']",373
29.0,ondo,q4 2020,107,0,7,3,3,0,0,14,13,1,4,1,1,0,0,1,0,['ondo'],"['q4', '2020']",155
30.0,osun,q4 2020,93,0,11,5,3,2,0,8,10,2,7,1,1,0,0,0,0,['osun'],"['q4', '2020']",143
31.0,oyo,q4 2020,128,1,15,5,14,1,0,14,18,1,6,0,2,0,0,4,0,['oyo'],"['q4', '2020']",209
32.0,plateau,q4 2020,18,0,2,3,9,0,0,3,7,0,0,0,0,2,0,0,1,['plateau'],"['q4', '2020']",45
33.0,rivers,q4 2020,19,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,2,['rivers'],"['q4', '2020']",29
34.0,sokoto,q4 2020,49,0,0,0,0,2,0,2,2,0,1,4,0,0,0,0,0,['sokoto'],"['q4', '2020']",60
35.0,taraba,q4 2020,57,0,2,1,0,1,0,4,7,0,3,0,5,0,0,0,12,['taraba'],"['q4', '2020']",92
36.0,yobe,q4 2020,28,0,9,1,0,2,0,7,5,0,1,0,0,0,0,0,0,['yobe'],"['q4', '2020']",53
37.0,zamfara,q4 2020,40,0,2,1,0,5,2,6,0,1,2,0,0,0,0,0,1,['zamfara'],"['q4', '2020']",60
38.0,abia,q1 2021,7,0,10,1,4,0,0,3,0,0,3,0,0,0,0,0,7,['abia'],"['q1', '2021']",35
39.0,adamawa,q1 2021,60,0,7,0,0,4,0,16,0,0,5,14,1,0,0,0,3,['adamawa'],"['q1', '2021']",110
40.0,akwa ibom,q1 2021,15,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,2,"['akwa', 'ibom']","['q1', '2021']",24
41.0,anambra,q1 2021,59,0,6,1,21,0,0,6,1,0,4,1,0,0,0,0,9,['anambra'],"['q1', '2021']",108
42.0,bauchi,q1 2021,77,0,16,3,0,0,1,18,15,1,4,2,1,0,0,0,14,['bauchi'],"['q1', '2021']",152
43.0,bayelsa,q1 2021,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,['bayelsa'],"['q1', '2021']",9
44.0,benue,q1 2021,46,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,['benue'],"['q1', '2021']",51
45.0,borno,q1 2021,31,0,3,0,0,0,0,2,5,0,2,1,0,0,0,0,2,['borno'],"['q1', '2021']",46
46.0,cross river,q1 2021,17,0,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0,"['cross', 'river']","['q1', '2021']",29
47.0,delta,q1 2021,68,1,6,2,7,0,0,5,3,0,2,0,0,0,0,0,11,['delta'],"['q1', '2021']",105
48.0,ebonyi,q1 2021,13,0,6,0,0,0,0,5,0,0,2,0,0,0,0,0,6,['ebonyi'],"['q1', '2021']",32
