state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
1,abia,10,19,1,30,146,31,177,279,q4 2020,['abia'],"['q4', '2020']",True,1.0,19,0,4,0,3,0,0,5,0,0,3,0,0,0,0,0,2,['abia'],"['q4', '2020']",36
2,adamawa,14,63,0,77,234,36,270,443,q4 2020,['adamawa'],"['q4', '2020']",True,2.0,57,0,3,2,0,1,0,17,1,0,3,10,0,0,0,0,0,['adamawa'],"['q4', '2020']",94
3,akwa ibom,6,13,3,22,28,7,35,89,q4 2020,"['akwa', 'ibom']","['q4', '2020']",True,3.0,15,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,0,"['akwa', 'ibom']","['q4', '2020']",24
4,anambra,14,41,17,72,152,20,172,526,q4 2020,['anambra'],"['q4', '2020']",True,4.0,43,0,3,0,9,0,0,4,0,0,6,1,0,1,0,0,6,['anambra'],"['q4', '2020']",73
5,bauchi,45,108,1,154,685,90,775,1182,q4 2020,['bauchi'],"['q4', '2020']",True,5.0,74,0,11,3,0,5,2,21,7,2,4,3,0,0,0,0,8,['bauchi'],"['q4', '2020']",140
6,bayelsa,0,1,0,1,3,0,3,3,q4 2020,['bayelsa'],"['q4', '2020']",True,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['bayelsa'],"['q4', '2020']",1
7,benue,10,43,24,77,177,25,202,254,q4 2020,['benue'],"['q4', '2020']",True,7.0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['benue'],"['q4', '2020']",81
8,borno,8,17,0,25,67,16,83,118,q4 2020,['borno'],"['q4', '2020']",True,8.0,11,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,['borno'],"['q4', '2020']",18
9,cross river,9,19,5,33,65,11,76,164,q4 2020,"['cross', 'river']","['q4', '2020']",True,9.0,23,0,1,2,1,1,0,2,3,1,0,4,0,0,0,0,0,"['cross', 'river']","['q4', '2020']",38
10,delta,25,36,6,67,182,36,218,407,q4 2020,['delta'],"['q4', '2020']",True,10.0,70,0,10,0,4,0,0,8,1,0,1,0,0,0,0,0,17,['delta'],"['q4', '2020']",111
11,ebonyi,10,16,1,27,82,11,93,200,q4 2020,['ebonyi'],"['q4', '2020']",True,11.0,9,0,8,0,0,0,0,6,3,0,0,0,0,0,0,0,3,['ebonyi'],"['q4', '2020']",29
12,edo,20,29,6,55,118,32,150,311,q4 2020,['edo'],"['q4', '2020']",True,12.0,77,0,9,2,2,2,0,4,5,0,1,0,0,0,0,0,0,['edo'],"['q4', '2020']",102
